Unnamed: 0,questions,answers
0,"Why do I feel tired and weak?', 'What could be causing my tiredness and weakness?', 'Why am I always feeling so exhausted and weak?', 'What are the reasons for feeling fatigued and weak?'","Having lower red blood cells than normal, also called being anemic, can cause you to feel tired and weak. Treating the underlying cause of anemia, typically by taking iron and folic supplements, can help restore healthy red blood cells.', 'Feeling tired and weak might be due to anemia, which is having fewer red blood cells than normal. Taking iron and folic supplements can help treat the underlying cause of anemia.', 'Anemia, a condition where you have lower red blood cells than normal, can make you feel tired and weak. Treatment usually involves taking iron and folic supplements to restore healthy red blood cells.', 'You may feel tired and weak due to anemia, which means you have fewer red blood cells than normal. The usual treatment includes iron and folic supplements to address the underlying cause.'"
1,"Why do I feel pain or burning when I use the bathroom?', 'What could be causing pain or burning during urination?', 'Why is it painful or burning when I pee?', 'What are the reasons for experiencing burning sensation when urinating?'","When a woman becomes pregnant, her immune system goes down, making her susceptible to infections such as a UTI. A UTI is a bacterial infection in the urinary tract.', 'Pain or burning during urination can be caused by a urinary tract infection (UTI). Pregnant women are more susceptible to UTIs because their immune system is weaker.', 'If you feel pain or a burning sensation when you pee, it could be due to a urinary tract infection (UTI). This is more common in pregnant women because their immune system is suppressed.', 'Experiencing a burning sensation when urinating might be due to a UTI, a bacterial infection in the urinary tract. Pregnant women are more likely to get UTIs due to a lowered immune system.'"
2,"Why do I feel fever, tiredness, or shakiness?', 'What could be causing my fever, tiredness, or shakiness?', 'Why am I experiencing fever, fatigue, and shakiness?', 'What are the reasons for feeling feverish, tired, or shaky?'","It is important to see your health care provider if you think you have a UTI or any fever.', 'If you are experiencing fever, tiredness, or shakiness, you should consult your health care provider to determine if you have a UTI or another condition.', ""Feeling feverish, tired, or shaky could indicate an underlying issue such as a UTI. It's important to see your health care provider for a proper diagnosis."", 'Symptoms like fever, tiredness, or shakiness may require medical attention. Contact your health care provider to check for a UTI or other possible causes.'"
3,"Why do I have a low or sad mood?', 'What could be causing my low or sad mood?', 'Why am I feeling depressed or down?', 'What are the reasons for feeling consistently sad or low?'","Some women experience depression during or after pregnancy. When many of these symptoms occur together and last for more than a week or two at a time, it is probably depression. It is important that the mother visits a health care provider.', ""Feeling a low or sad mood for an extended period may indicate depression, especially during or after pregnancy. It's crucial to see a health care provider if these symptoms persist for more than a week or two."", 'Experiencing a consistently low or sad mood could be a sign of depression, which some women experience during or after pregnancy. Seeking help from a health care provider is important.', ""If you have a low or sad mood that lasts for more than a week or two, it might be depression. This is common during or after pregnancy, and it's essential to visit a health care provider."""
4,"Why is my blood pressure high?', 'What could be causing my high blood pressure?', 'Why do I have hypertension?', 'What are the reasons for elevated blood pressure?'","High blood pressure during pregnancy could be caused by being overweight or obese, not getting enough physical activity, smoking, drinking alcohol, first-time pregnancy, a family history of pregnancy-related hypertension, carrying more than one child, age (over 35), assistive reproductive technology (such as in vitro fertilization, or IVF), and having diabetes or certain autoimmune diseases.', 'There are several factors that might cause high blood pressure during pregnancy, including obesity, lack of physical activity, smoking, alcohol consumption, first-time pregnancy, family history, carrying multiple children, being over 35, using assistive reproductive technology, and having diabetes or certain autoimmune diseases.', 'Your high blood pressure could be due to factors like being overweight, lack of exercise, smoking, alcohol use, a first-time pregnancy, family history of hypertension, carrying twins or more, being over the age of 35, using IVF, or having diabetes or autoimmune diseases.', 'Elevated blood pressure during pregnancy may result from being overweight, not exercising, smoking, drinking, being pregnant for the first time, having a family history of pregnancy-related hypertension, carrying multiple babies, being older than 35, using IVF, or having diabetes or autoimmune disorders.'"
5,"Why are my glucose levels high?', 'What could be causing my high blood sugar?', 'Why do I have elevated glucose levels?', 'What are the reasons for high blood sugar during pregnancy?'","""Gestational diabetes is diabetes diagnosed for the first time during pregnancy. It causes high blood sugar that can affect your pregnancy and your baby's health. Some risk factors include being overweight or obese, not being physically active, having prediabetes, having had gestational diabetes during a previous pregnancy, having polycystic ovary syndrome, having an immediate family member with diabetes, and having previously delivered a baby weighing more than 9 pounds (4.1 kilograms)."", 'High glucose levels during pregnancy can be due to gestational diabetes, which is diagnosed for the first time during pregnancy. Risk factors include obesity, lack of physical activity, prediabetes, previous gestational diabetes, polycystic ovary syndrome, family history of diabetes, and previously delivering a large baby.', 'Elevated glucose levels may be caused by gestational diabetes, a condition first diagnosed during pregnancy. Factors such as being overweight, inactivity, prediabetes, previous gestational diabetes, polycystic ovary syndrome, family history of diabetes, and delivering a large baby can increase your risk.', 'If your blood sugar is high, it could be due to gestational diabetes, which is diagnosed for the first time during pregnancy. Risk factors include being overweight, lack of physical activity, having prediabetes, having had gestational diabetes before, having polycystic ovary syndrome, having a family history of diabetes, and having delivered a large baby previously.'"
6,"What is preeclampsia?', 'Can you explain what preeclampsia is?', 'What are the details about preeclampsia?', 'What does preeclampsia mean in pregnancy?'","Preeclampsia is a serious medical condition that can lead to preterm delivery and death. Its cause is unknown, but some women are at an increased risk. Risk factors include first pregnancies, preeclampsia in a previous pregnancy, existing conditions such as high blood pressure, diabetes, kidney disease, and others, being 35 years of age or older, carrying two or more fetuses, and obesity.', 'Preeclampsia is a severe condition during pregnancy that can cause preterm delivery and even death. The exact cause is unknown, but risk factors include first-time pregnancies, previous preeclampsia, high blood pressure, diabetes, kidney disease, age over 35, multiple fetuses, and obesity.', 'Preeclampsia is a serious medical condition that can result in preterm delivery and death. Although its cause is unknown, risk factors include first pregnancies, a history of preeclampsia, pre-existing conditions like high blood pressure, diabetes, kidney disease, being over 35, carrying multiple fetuses, and obesity.', 'In pregnancy, preeclampsia is a dangerous condition that can lead to preterm birth and death. The cause is unknown, but increased risk is associated with first pregnancies, previous preeclampsia, existing conditions such as high blood pressure, diabetes, kidney disease, age over 35, carrying multiples, and obesity.'"
7,"Why do I have labor pains before my due date?', 'What could be causing contractions before my due date?', 'Why am I experiencing labor pains early?', 'What are the reasons for having contractions before my due date?'","Not all contractions mean you’re in labor. You may have contractions on and off before true labor starts. These are called false labor pains or Braxton-Hicks contractions. They soften and thin the cervix to help your body get ready for labor and birth. You may feel them in the weeks right before your due date. Learning the differences between true labor contractions and false labor contractions can help you know when you’re really in labor.', 'Contractions before your due date might not indicate true labor. These could be false labor pains or Braxton-Hicks contractions, which occur to soften and thin the cervix in preparation for labor. These can happen in the weeks leading up to your due date. Understanding the differences between true labor and false labor contractions can help determine if you’re really in labor.', 'Experiencing labor pains before your due date can be due to Braxton-Hicks contractions, also known as false labor pains. These contractions help soften and thin the cervix to prepare for labor and birth and often occur in the weeks before your due date. Knowing the difference between true and false labor contractions can be helpful.', 'Labor pains before your due date are often false labor pains or Braxton-Hicks contractions, which help prepare your cervix for labor. These contractions can occur on and off in the weeks leading up to your due date. Learning to distinguish between true labor contractions and false labor contractions can help you understand when you’re actually in labor.'"
8,"Why do I vomit too much?', 'What could be causing excessive vomiting?', 'Why am I experiencing frequent vomiting?', 'What are the reasons for severe vomiting during pregnancy?'","Many women experience nausea or vomiting, often referred to as “morning sickness,” especially during the first 3 months of pregnancy. The cause is believed to be rapidly rising levels of a hormone called HCG (Human Chorionic Gonadotropin). However, severe vomiting beyond typical morning sickness, known as hyperemesis gravidarum, can lead to weight loss and dehydration and may require intensive treatment.', 'Excessive vomiting during pregnancy, beyond typical morning sickness, is known as hyperemesis gravidarum. It is believed to be caused by rapidly increasing levels of HCG (Human Chorionic Gonadotropin) in the blood. This condition can lead to weight loss and dehydration, requiring intensive treatment.', 'Frequent vomiting during pregnancy, beyond normal morning sickness, could be hyperemesis gravidarum. This condition is linked to high levels of HCG hormone, causing severe symptoms such as weight loss and dehydration. It may necessitate intensive medical care.', 'Severe vomiting during pregnancy, known as hyperemesis gravidarum, is more extreme than typical morning sickness and is believed to result from elevated HCG levels. This condition can lead to weight loss, dehydration, and may require intensive treatment.'"
9,"Why do I have swollen feet?', 'What could be causing swelling in my feet?', 'Why are my feet swollen during pregnancy?', 'What are the reasons for swollen feet in pregnancy?'","""It's normal to experience some swelling in pregnancy, especially in your legs, ankles, feet, and fingers. This swelling tends to worsen towards the end of the day and as your pregnancy progresses."", 'Swelling that develops gradually during pregnancy, particularly in your legs, ankles, feet, and fingers, is usually not harmful but can be uncomfortable.', 'Swollen feet during pregnancy can occur due to normal changes in your body, particularly in the later stages of pregnancy. This swelling tends to be worse by the end of the day.', 'While some swelling in your legs, ankles, feet, and fingers is normal during pregnancy, a sudden increase in swelling, especially in your face, hands, or feet, could indicate a more serious condition like pre-eclampsia. This condition requires immediate medical attention if accompanied by symptoms such as severe headache, vision problems, severe pain below the ribs, or vomiting.'"
